SalesQuotaId,OrganizationId,QuotaTypeId,QuotaTypeName,QuotaByTypeId,QuotaByTypeName,QuotaForTypeId,QuotaForTypeName,Amount(Not Running Total),Amount(Not Total),CreatedDate,RepConfidence,TotalLength,Length,InPipelineProbabilityMean,InPipelineProbabilityMedian,OpportunityTotalAmountMean,OpportunityTotalAmountMedian
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,6310.84,289479.33,2024-02-20,70.48,90,40,0.3,0.3,48963.75,16218.25
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,4706.71,294186.04,2024-02-21,74.47,90,39,0.41,0.18,29435.72,7931.46
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7556.68,301742.72,2024-02-22,72.11,90,38,0.18,0.29,27136.83,16176.53
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,8131.52,309874.24,2024-02-23,74.75,90,37,0.51,0.44,12342.7,14120.79
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,8166.74,318040.98,2024-02-24,73.6,90,36,0.2,0.93,12735.2,5910.82
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,1704.41,319745.39,2024-02-25,71.2,90,35,0.72,0.69,23985.37,7213.52
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,1844.15,321589.54,2024-02-26,73.93,90,34,0.05,0.03,32201.8,17120.72
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,3564.74,325154.28,2024-02-27,74.7,90,33,0.91,0.84,20946.64,14598.07
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7770.39,332924.67,2024-02-28,73.84,90,32,0.25,0.17,35003.57,5715.17
1234,567,89,QuantumQuota,7,GalaxyGoal,1,NebulaNeed,7561.22,340485.89,2024-02-29,73.86,90,31,0.02,0.5,22449.83,19170.69
